set_size,overlap_size,avg_runtime_seconds
100,10,0.007589741799165495
500,50,0.03796219159994507
1000,100,0.06835434160020668
3000,300,0.20536106660147196
5000,500,0.3445675832001143
10000,1000,0.692188141598308
